|                 wl |      k_tot |
|             2810.0 |  8.170e+00 |
|             2820.0 |  8.218e+00 |
|             2830.0 |  8.265e+00 |
|             2840.0 |  8.311e+00 |
| 2849.9999999999995 |  8.358e+00 |
|             2860.0 |  8.404e+00 |
|             2870.0 |  8.450e+00 |
|             2880.0 |  8.496e+00 |
|             2890.0 |  8.542e+00 |
| 2899.9999999999995 |  8.588e+00 |
|             2910.0 |  8.633e+00 |
|             2920.0 |  8.678e+00 |
|             2930.0 |  8.723e+00 |
|             2940.0 |  8.767e+00 |
|             2950.0 |  8.812e+00 |
|             2960.0 |  8.856e+00 |
| 2969.9999999999995 |  8.900e+00 |
|             2980.0 |  8.943e+00 |
|             2990.0 |  8.986e+00 |
|             3000.0 |  9.029e+00 |
|             3010.0 |  9.072e+00 |
| 3019.9999999999995 |  9.115e+00 |
|             3030.0 |  9.157e+00 |
|             3040.0 |  9.198e+00 |
|             3050.0 |  9.240e+00 |
|             3060.0 |  9.281e+00 |
|             3070.0 |  9.322e+00 |
|             3080.0 |  9.363e+00 |
| 3089.9999999999995 |  9.403e+00 |
|             3100.0 |  9.443e+00 |
|             3110.0 |  9.482e+00 |
|             3120.0 |  9.521e+00 |
|             3130.0 |  9.560e+00 |
| 3139.9999999999995 |  9.599e+00 |
|             3150.0 |  9.637e+00 |
|             3160.0 |  9.674e+00 |
|             3170.0 |  9.712e+00 |
|             3180.0 |  9.749e+00 |
| 3189.9999999999995 |  9.785e+00 |
|             3200.0 |  9.821e+00 |
| 3209.9999999999995 |  9.857e+00 |
|             3220.0 |  9.892e+00 |
|             3230.0 |  9.927e+00 |
|             3240.0 |  9.962e+00 |
|             3250.0 |  9.996e+00 |
| 3259.9999999999995 |  1.003e+01 |
|             3270.0 |  1.006e+01 |
|             3280.0 |  1.010e+01 |
|             3290.0 |  1.013e+01 |
|             3300.0 |  1.016e+01 |
| 3309.9999999999995 |  1.019e+01 |
|             3320.0 |  1.022e+01 |
| 3329.9999999999995 |  1.025e+01 |
|             3340.0 |  1.028e+01 |
|             3350.0 |  1.031e+01 |
|             3360.0 |  1.034e+01 |
|             3370.0 |  1.037e+01 |
| 3379.9999999999995 |  1.040e+01 |
|             3390.0 |  1.042e+01 |
|             3400.0 |  1.045e+01 |
|             3410.0 |  1.048e+01 |
|             3420.0 |  1.050e+01 |
| 3429.9999999999995 |  1.053e+01 |
|             3440.0 |  1.055e+01 |
| 3449.9999999999995 |  1.058e+01 |
|             3460.0 |  1.060e+01 |
|             3470.0 |  1.062e+01 |
|             3480.0 |  1.064e+01 |
|             3490.0 |  1.067e+01 |
| 3499.9999999999995 |  1.069e+01 |
|             3510.0 |  1.071e+01 |
|             3520.0 |  1.073e+01 |
|             3530.0 |  1.075e+01 |
|             3540.0 |  1.076e+01 |
| 3549.9999999999995 |  1.078e+01 |
|             3560.0 |  1.080e+01 |
| 3569.9999999999995 |  1.082e+01 |
|             3580.0 |  1.083e+01 |
|             3590.0 |  1.085e+01 |
|             3600.0 |  1.086e+01 |
|             3610.0 |  1.088e+01 |
| 3619.9999999999995 |  1.089e+01 |
|             3630.0 |  1.090e+01 |
|             3640.0 |  1.091e+01 |
|             3650.0 |  1.092e+01 |
|             3660.0 |  1.094e+01 |
| 3669.9999999999995 |  1.095e+01 |
|             3680.0 |  1.095e+01 |
| 3689.9999999999995 |  1.096e+01 |
|             3700.0 |  1.097e+01 |
|             3710.0 |  1.098e+01 |
|             3720.0 |  1.098e+01 |
|             3730.0 |  1.099e+01 |
| 3739.9999999999995 |  1.099e+01 |
|             3750.0 |  1.100e+01 |
|             3760.0 |  1.100e+01 |
|             3770.0 |  1.100e+01 |
|             3780.0 |  1.100e+01 |
| 3789.9999999999995 |  1.100e+01 |
|             3800.0 |  1.100e+01 |
| 3809.9999999999995 |  1.100e+01 |
|             3820.0 |  1.100e+01 |
|             3830.0 |  1.100e+01 |
| 3839.9999999999995 |  1.099e+01 |
|             3850.0 |  1.099e+01 |
| 3859.9999999999995 |  1.098e+01 |
|             3870.0 |  1.098e+01 |
|             3880.0 |  1.097e+01 |
|             3890.0 |  1.096e+01 |
|             3900.0 |  1.095e+01 |
| 3909.9999999999995 |  1.094e+01 |
|             3920.0 |  1.093e+01 |
|             3930.0 |  1.092e+01 |
|             3940.0 |  1.091e+01 |
|             3950.0 |  1.089e+01 |
| 3959.9999999999995 |  1.088e+01 |
|             3970.0 |  1.086e+01 |
| 3979.9999999999995 |  1.085e+01 |
|             3990.0 |  1.083e+01 |
|             4000.0 |  1.081e+01 |
|             4010.0 |  1.079e+01 |
|             4020.0 |  1.077e+01 |
| 4029.9999999999995 |  1.075e+01 |
|             4040.0 |  1.073e+01 |
|             4050.0 |  1.070e+01 |
|             4060.0 |  1.068e+01 |
|             4070.0 |  1.065e+01 |
